Country,Average of Coffee Consumed per Capita in Kg,gdp_per_hour_worked ($),latitude,longitude,code
Austria,7.25,48.9411778,47.516231,14.550072,AUT
Belgium,6.67,60.5406064,50.503887,4.469936,BEL
Bulgaria,3.11,16.50183633,42.733883,25.48583,BGR
Croatia,5.22,25.3790756,45.1,15.2,HRV
Czech Republic,3.70,28.83793913,49.817492,15.472962,CZE
Denmark,9.27,57.95592633,56.26392,9.501785,DNK
Estonia,5.50,24.56170807,58.595272,25.013607,EST
Finland,12.50,48.1676314,61.92411,25.748151,FIN
France,5.68,55.2819912,46.227638,2.213749,FRA
Germany,7.03,54.53377533,51.165691,10.451526,DEU
Greece,5.07,31.78659347,39.074208,21.824312,GRC
Hungary,3.15,26.25287393,47.162494,19.503304,HUN
Ireland,2.60,53.39273907,53.41291,-8.24389,IRL
Italy,5.93,47.16107227,41.87194,12.56738,ITA
Japan,3.49,37.89749667,36.2048,138.2529,JPN
Latvia,3.75,19.73692467,56.879635,24.603189,LVA
Lithuania,3.82,22.935529,55.169438,23.881275,LTU
Luxembourg,26.42,79.12171573,49.815273,6.129583,LUX
Netherlands,6.29,58.15103893,52.132633,5.291266,NLD
Norway,9.91,76.47293133,60.472024,8.468946,NOR
Poland,3.34,22.40849573,51.919438,19.145136,POL
Portugal,4.53,29.82764487,39.399872,-8.224454,PRT
Romania,2.25,17.71990627,45.943161,24.96676,ROU
Russian Federation,1.43,20.05274067,61.52401,105.318756,RUS
Slovenia,5.81,32.8305008,46.151241,14.995463,SVN
Spain,4.48,42.51990193,40.463667,-3.74922,ESP
Sweden,8.41,50.45524807,60.128161,18.643501,SWE
Switzerland,7.93,54.61293547,46.818188,8.227512,CHE
United Kingdom,2.82,45.41510173,55.378051,-3.435973,GBR
United States of America,4.51,56.8026954,37.09024,-95.712891,USA
