"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","1970",26.793218,
"AUS","GDPHRWKD","TOT","USD","A","1971",27.462937,
"AUS","GDPHRWKD","TOT","USD","A","1972",28.067364,
"AUS","GDPHRWKD","TOT","USD","A","1973",28.645413,
"AUS","GDPHRWKD","TOT","USD","A","1974",28.189555,
"AUS","GDPHRWKD","TOT","USD","A","1975",29.232949,
"AUS","GDPHRWKD","TOT","USD","A","1976",29.720941,
"AUS","GDPHRWKD","TOT","USD","A","1977",29.687325,
"AUS","GDPHRWKD","TOT","USD","A","1978",30.939895,
"AUS","GDPHRWKD","TOT","USD","A","1979",31.089906,
"AUS","GDPHRWKD","TOT","USD","A","1980",31.423326,
"AUS","GDPHRWKD","TOT","USD","A","1981",32.351621,
"AUS","GDPHRWKD","TOT","USD","A","1982",32.756218,
"AUS","GDPHRWKD","TOT","USD","A","1983",33.576919,
"AUS","GDPHRWKD","TOT","USD","A","1984",34.311822,
"AUS","GDPHRWKD","TOT","USD","A","1985",34.254392,
"AUS","GDPHRWKD","TOT","USD","A","1986",34.257165,
"AUS","GDPHRWKD","TOT","USD","A","1987",34.967171,
"AUS","GDPHRWKD","TOT","USD","A","1988",34.859657,
"AUS","GDPHRWKD","TOT","USD","A","1989",34.971994,
"AUS","GDPHRWKD","TOT","USD","A","1990",34.344514,
"AUS","GDPHRWKD","TOT","USD","A","1991",35.138886,
"AUS","GDPHRWKD","TOT","USD","A","1992",36.217276,
"AUS","GDPHRWKD","TOT","USD","A","1993",36.295044,
"AUS","GDPHRWKD","TOT","USD","A","1994",36.356423,
"AUS","GDPHRWKD","TOT","USD","A","1995",37.455004,
"AUS","GDPHRWKD","TOT","USD","A","1996",38.773035,
"AUS","GDPHRWKD","TOT","USD","A","1997",40.072178,
"AUS","GDPHRWKD","TOT","USD","A","1998",41.364961,
"AUS","GDPHRWKD","TOT","USD","A","1999",41.734329,
"AUS","GDPHRWKD","TOT","USD","A","2000",42.162686,
"AUS","GDPHRWKD","TOT","USD","A","2001",43.63423,
"AUS","GDPHRWKD","TOT","USD","A","2002",44.241407,
"AUS","GDPHRWKD","TOT","USD","A","2003",45.170547,
"AUS","GDPHRWKD","TOT","USD","A","2004",45.034981,
"AUS","GDPHRWKD","TOT","USD","A","2005",45.23754,
"AUS","GDPHRWKD","TOT","USD","A","2006",45.470088,
"AUS","GDPHRWKD","TOT","USD","A","2007",46.019796,
"AUS","GDPHRWKD","TOT","USD","A","2008",47.630951,
"AUS","GDPHRWKD","TOT","USD","A","2009",47.16374,
"AUS","GDPHRWKD","TOT","USD","A","2010",47.935779,
"AUS","GDPHRWKD","TOT","USD","A","2011",48.467255,
"AUS","GDPHRWKD","TOT","USD","A","2012",49.633019,
"AUS","GDPHRWKD","TOT","USD","A","2013",50.444842,
"AUS","GDPHRWKD","TOT","USD","A","2014",50.742639,
"AUS","GDPHRWKD","TOT","USD","A","2015",52.082051,
"AUS","GDPHRWKD","TOT","USD","A","2016",51.790811,
"AUS","GDPHRWKD","TOT","USD","A","2017",52.452973,
"AUT","GDPHRWKD","TOT","USD","A","1995",40.941257,
"AUT","GDPHRWKD","TOT","USD","A","1996",40.982632,
"AUT","GDPHRWKD","TOT","USD","A","1997",41.344285,
"AUT","GDPHRWKD","TOT","USD","A","1998",42.907609,
"AUT","GDPHRWKD","TOT","USD","A","1999",43.673565,
"AUT","GDPHRWKD","TOT","USD","A","2000",44.712574,
"AUT","GDPHRWKD","TOT","USD","A","2001",45.283182,
"AUT","GDPHRWKD","TOT","USD","A","2002",46.141633,
"AUT","GDPHRWKD","TOT","USD","A","2003",46.505529,
"AUT","GDPHRWKD","TOT","USD","A","2004",47.413997,
"AUT","GDPHRWKD","TOT","USD","A","2005",48.55656,
"AUT","GDPHRWKD","TOT","USD","A","2006",49.847493,
"AUT","GDPHRWKD","TOT","USD","A","2007",51.098384,
"AUT","GDPHRWKD","TOT","USD","A","2008",51.100684,
