Country Name,Year,Coffee Consumed,MEASURE,gdp_per_hour_worked ($), gdp_for_year ($) ,gdp_per_capita ($),population,Unemployed (%)
Austria,1999,1123,USD,43.67,217185787343,28722,7561609,3.7
Austria,2000,875,USD,44.71,196799778883,25922,7592073,3.5
Austria,2001,1013,USD,45.28,197337879195,25848,7634560,3.6
Austria,2002,926,USD,46.14,213377771504,27772,7683162,4
Austria,2003,720,USD,46.51,261695778781,33889,7722033,4.3
Austria,2004,996,USD,47.41,300904221505,38711,7773105,4.9
Austria,2005,772,USD,48.56,315974418605,40367,7827461,5.2
Austria,2006,612,USD,49.85,335998557270,42698,7869269,4.7
Austria,2007,847,USD,51.10,388691445387,49218,7897272,4.4
Austria,2008,908,USD,51.10,430294287388,54294,7925258,3.8
Austria,2009,886,USD,50.74,400172297861,50356,7946894,4.8
Austria,2010,903,USD,51.51,391892746545,49181,7968421,4.4
Austria,2011,1117,USD,52.02,431120310089,53923,7995146,4.1
Austria,2012,1269,USD,52.59,409425234155,50979,8031276,4.3
Austria,2013,1249,USD,52.92,430068712972,53229,8079615,4.9
Belgium,1999,834,USD,56.32,260202429150,26969,9648277,8.6
Belgium,2000,1133,USD,56.77,237904919845,24592,9674025,6.6
Belgium,2001,884,USD,56.68,237841968680,24494,9710055,6.2
Belgium,2002,1484,USD,58.01,258860436665,26526,9758570,7.5
Belgium,2003,1579,USD,58.69,319002821670,32538,9804122,8.2
Belgium,2004,1396,USD,60.42,370885026074,37661,9848022,8.4
Belgium,2005,1158,USD,61.10,387365750529,39124,9901014,8.4
Belgium,2006,1537,USD,61.67,409813197842,41135,9962702,8.2
Belgium,2007,1103,USD,62.58,471821105940,47040,10030266,7.5
Belgium,2008,650,USD,62.22,518625897173,51345,10100850,7
Belgium,2009,934,USD,61.78,484552792442,47630,10173366,7.9
Belgium,2010,871,USD,63.16,483548031197,47355,10211171,8.3
Belgium,2011,934,USD,62.87,527008453887,50893,10355126,7.1
Belgium,2012,915,USD,62.73,497884216569,47678,10442637,7.5
Belgium,2013,1245,USD,63.14,520925468953,49489,10526149,8.4
Bulgaria,1999,363,USD,12.16,13495075366,1715,7866600,14.1
Bulgaria,2000,275,USD,13.29,13153016531,1680,7829095,16.2
Bulgaria,2001,350,USD,13.79,14075616789,1854,7591926,19.9
Bulgaria,2002,341,USD,14.59,16276456428,2157,7544410,18.1
Bulgaria,2003,397,USD,14.99,20982685981,2800,7493166,13.7
Bulgaria,2004,364,USD,15.34,25957970922,3485,7447563,12
Bulgaria,2005,430,USD,16.05,29636617750,4003,7404051,10.1
Bulgaria,2006,420,USD,16.64,34130122491,4638,7358508,8.9
Bulgaria,2007,364,USD,17.31,44411476557,6073,7312474,6.9
Bulgaria,2008,445,USD,17.52,54409138498,7487,7267511,5.6
Bulgaria,2009,409,USD,17.68,51884481410,7186,7219817,6.8
Bulgaria,2010,395,USD,18.65,50610058210,7066,7162740,10.2
Bulgaria,2011,360,USD,19.45,57418414504,8137,7056527,11.3
Bulgaria,2012,376,USD,19.94,53903022339,7745,6959652,12.3
Bulgaria,2013,419,USD,20.12,55758754072,8057,6920644,12.9
Croatia,1999,337,USD,21.25,23386945597,5459,4283800,13.5
Croatia,2000,327,USD,22.09,21774273832,5288,4118000,16.1
Croatia,2001,337,USD,22.99,23289671102,5571,4180633,20.5
Croatia,2002,355,USD,23.98,26878499206,6373,4217300,15.1
Croatia,2003,375,USD,24.69,34658113497,8202,4225600,13.9
Croatia,2004,370,USD,25.42,41574530816,9829,4229600,13.7
Croatia,2005,374,USD,26.20,45416358502,10722,4235875,12.6
Croatia,2006,386,USD,26.60,50453577898,11914,4234946,11.1
Croatia,2007,386,USD,27.12,60093222709,14204,4230855,9.6
Croatia,2008,377,USD,27.07,70481451449,16680,4225583,8.4
Croatia,2009,366,USD,25.33,62703143057,14872,4216050,9.1
Croatia,2010,370,USD,25.75,59829574391,14232,4203963,11.8
Croatia,2011,367,USD,26.73,62375044443,14890,4189029,13.4
Croatia,2012,360,USD,27.33,56565475275,13952,4054296,15.8
Croatia,2013,387,USD,28.13,58085856019,14362,4044457,17.3
Czech Republic,1999,558,USD,21.95,64867483193,6606,9819215,8.7
Czech Republic,2000,560,USD,23.05,61649492817,6278,9819742,8.8
Czech Republic,2001,633,USD,24.79,67523642262,6863,9838083,8.1
Czech Republic,2002,642,USD,25.07,81910771994,8399,9752463,7.3
Czech Republic,2003,623,USD,26.33,99627140274,10220,9748550,7.8
Czech Republic,2004,605,USD,27.51,119162172468,12226,9746647,8.3
Czech Republic,2005,656,USD,28.75,136280689891,13961,9761733,7.9
Czech Republic,2006,631,USD,30.61,155463807113,15896,9780319,7.1
Czech Republic,2007,679,USD,31.93,189227050760,19273,9818295,5.3
Czech Republic,2008,621,USD,31.99,235718586901,23811,9899594,4.4
Czech Republic,2009,525,USD,31.20,206179982164,20748,9937407,6.7
Czech Republic,2010,470,USD,31.88,207477857919,20862,9945273,7.3
Czech Republic,2011,572,USD,32.42,227948349666,23010,9906318,6.7
Czech Republic,2012,685,USD,32.56,207376427021,20898,9923127,7
Czech Republic,2013,637,USD,32.54,209402444996,21073,9936780,7
Denmark,1999,869,USD,53.52,177965224621,35763,4976200,5.1
Denmark,2000,791,USD,54.76,164158800460,32841,4998610,4.5
Denmark,2001,868,USD,54.56,164791416350,32837,5018451,4.2
Denmark,2002,805,USD,55.01,178635160297,35435,5041222,4.6
Denmark,2003,724,USD,55.92,218095997085,43129,5056783,5.4
Denmark,2004,849,USD,57.70,251373036671,49552,5072927,5.5
Denmark,2005,795,USD,58.49,264467308109,51960,5089852,4.8
Denmark,2006,822,USD,59.27,282884912894,55354,5110460,3.9
Denmark,2007,794,USD,59.37,319423370134,62229,5133001,3.8
Denmark,2008,688,USD,58.49,353361056080,68447,5162525,3.4
Denmark,2009,676,USD,57.95,321241396034,61863,5192790,6
Denmark,2010,806,USD,60.22,321995350347,61711,5217785,7.5
Denmark,2011,762,USD,60.43,344003209696,65598,5244150,7.6
Denmark,2012,800,USD,61.58,327148899962,62071,5270539,7.5
Denmark,2013,822,USD,62.07,343584385594,64831,5299698,7
Estonia,2000,97,USD,18.00,5685774809,4262,1334175,13.1
Estonia,2001,107,USD,19.10,6245069734,4711,1325610,12.4
