Country Name,Country Code,Indicator Name,Year,Value
Arab World,ARB,"Unemployment, total (% of total labor force)",1960,
Caribbean small states,CSS,"Unemployment, total (% of total labor force)",1960,
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force)",1960,
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force)",1960,
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force)",1960,
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force)",1960,
East Asia & Pacific (IDA & IBRD countries),TEA,"Unemployment, total (% of total labor force)",1960,
Euro area,EMU,"Unemployment, total (% of total labor force)",1960,
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force)",1960,
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force)",1960,
Europe & Central Asia (IDA & IBRD countries),TEC,"Unemployment, total (% of total labor force)",1960,
European Union,EUU,"Unemployment, total (% of total labor force)",1960,
Fragile and conflict affected situations,FCS,"Unemployment, total (% of total labor force)",1960,
Heavily indebted poor countries (HIPC),HPC,"Unemployment, total (% of total labor force)",1960,
High income,HIC,"Unemployment, total (% of total labor force)",1960,
Late-demographic dividend,LTE,"Unemployment, total (% of total labor force)",1960,
Latin America & Caribbean,LCN,"Unemployment, total (% of total labor force)",1960,
Latin America & Caribbean (excluding high income),LAC,"Unemployment, total (% of total labor force)",1960,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Unemployment, total (% of total labor force)",1960,
Least developed countries: UN classification,LDC,"Unemployment, total (% of total labor force)",1960,
Low & middle income,LMY,"Unemployment, total (% of total labor force)",1960,
Low income,LIC,"Unemployment, total (% of total labor force)",1960,
Lower middle income,LMC,"Unemployment, total (% of total labor force)",1960,
Middle East & North Africa,MEA,"Unemployment, total (% of total labor force)",1960,
Middle East & North Africa (excluding high income),MNA,"Unemployment, total (% of total labor force)",1960,
Middle East & North Africa (IDA & IBRD countries),TMN,"Unemployment, total (% of total labor force)",1960,
Middle income,MIC,"Unemployment, total (% of total labor force)",1960,
North America,NAC,"Unemployment, total (% of total labor force)",1960,
OECD members,OED,"Unemployment, total (% of total labor force)",1960,
Other small states,OSS,"Unemployment, total (% of total labor force)",1960,
Pacific island small states,PSS,"Unemployment, total (% of total labor force)",1960,
Post-demographic dividend,PST,"Unemployment, total (% of total labor force)",1960,
Pre-demographic dividend,PRE,"Unemployment, total (% of total labor force)",1960,
Small states,SST,"Unemployment, total (% of total labor force)",1960,
South Asia,SAS,"Unemployment, total (% of total labor force)",1960,
South Asia (IDA & IBRD),TSA,"Unemployment, total (% of total labor force)",1960,
Sub-Saharan Africa,SSF,"Unemployment, total (% of total labor force)",1960,
Sub-Saharan Africa (excluding high income),SSA,"Unemployment, total (% of total labor force)",1960,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Unemployment, total (% of total labor force)",1960,
Upper middle income,UMC,"Unemployment, total (% of total labor force)",1960,
World,WLD,"Unemployment, total (% of total labor force)",1960,
Afghanistan,AFG,"Unemployment, total (% of total labor force)",1960,
Albania,ALB,"Unemployment, total (% of total labor force)",1960,
Algeria,DZA,"Unemployment, total (% of total labor force)",1960,
American Samoa,ASM,"Unemployment, total (% of total labor force)",1960,
Andorra,ADO,"Unemployment, total (% of total labor force)",1960,
Angola,AGO,"Unemployment, total (% of total labor force)",1960,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force)",1960,
Argentina,ARG,"Unemployment, total (% of total labor force)",1960,
Armenia,ARM,"Unemployment, total (% of total labor force)",1960,
Aruba,ABW,"Unemployment, total (% of total labor force)",1960,
Australia,AUS,"Unemployment, total (% of total labor force)",1960,
Austria,AUT,"Unemployment, total (% of total labor force)",1960,
Azerbaijan,AZE,"Unemployment, total (% of total labor force)",1960,
"Bahamas, The",BHS,"Unemployment, total (% of total labor force)",1960,
Bahrain,BHR,"Unemployment, total (% of total labor force)",1960,
Bangladesh,BGD,"Unemployment, total (% of total labor force)",1960,
Barbados,BRB,"Unemployment, total (% of total labor force)",1960,
Belarus,BLR,"Unemployment, total (% of total labor force)",1960,
Belgium,BEL,"Unemployment, total (% of total labor force)",1960,
Belize,BLZ,"Unemployment, total (% of total labor force)",1960,
Benin,BEN,"Unemployment, total (% of total labor force)",1960,
Bermuda,BMU,"Unemployment, total (% of total labor force)",1960,
Bhutan,BTN,"Unemployment, total (% of total labor force)",1960,
Bolivia,BOL,"Unemployment, total (% of total labor force)",1960,
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force)",1960,
Botswana,BWA,"Unemployment, total (% of total labor force)",1960,
Brazil,BRA,"Unemployment, total (% of total labor force)",1960,
British Virgin Islands,VGB,"Unemployment, total (% of total labor force)",1960,
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force)",1960,
Bulgaria,BGR,"Unemployment, total (% of total labor force)",1960,
Burkina Faso,BFA,"Unemployment, total (% of total labor force)",1960,
Burundi,BDI,"Unemployment, total (% of total labor force)",1960,
Cabo Verde,CPV,"Unemployment, total (% of total labor force)",1960,
Cambodia,KHM,"Unemployment, total (% of total labor force)",1960,
Cameroon,CMR,"Unemployment, total (% of total labor force)",1960,
Canada,CAN,"Unemployment, total (% of total labor force)",1960,
Cayman Islands,CYM,"Unemployment, total (% of total labor force)",1960,
Central African Republic,CAF,"Unemployment, total (% of total labor force)",1960,
Chad,TCD,"Unemployment, total (% of total labor force)",1960,
Channel Islands,CHI,"Unemployment, total (% of total labor force)",1960,
Chile,CHL,"Unemployment, total (% of total labor force)",1960,
China,CHN,"Unemployment, total (% of total labor force)",1960,
Colombia,COL,"Unemployment, total (% of total labor force)",1960,
Comoros,COM,"Unemployment, total (% of total labor force)",1960,
"Congo, Dem. Rep.",ZAR,"Unemployment, total (% of total labor force)",1960,
"Congo, Rep.",COG,"Unemployment, total (% of total labor force)",1960,
Costa Rica,CRI,"Unemployment, total (% of total labor force)",1960,
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force)",1960,
Croatia,HRV,"Unemployment, total (% of total labor force)",1960,
Cuba,CUB,"Unemployment, total (% of total labor force)",1960,
Curacao,CUW,"Unemployment, total (% of total labor force)",1960,
Cyprus,CYP,"Unemployment, total (% of total labor force)",1960,
Czech Republic,CZE,"Unemployment, total (% of total labor force)",1960,
Denmark,DNK,"Unemployment, total (% of total labor force)",1960,
Djibouti,DJI,"Unemployment, total (% of total labor force)",1960,
Dominica,DMA,"Unemployment, total (% of total labor force)",1960,
Dominican Republic,DOM,"Unemployment, total (% of total labor force)",1960,
Ecuador,ECU,"Unemployment, total (% of total labor force)",1960,
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force)",1960,
El Salvador,SLV,"Unemployment, total (% of total labor force)",1960,
Equatorial Guinea,GNQ,"Unemployment, total (% of total labor force)",1960,
Eritrea,ERI,"Unemployment, total (% of total labor force)",1960,
Estonia,EST,"Unemployment, total (% of total labor force)",1960,
Ethiopia,ETH,"Unemployment, total (% of total labor force)",1960,
Faroe Islands,FRO,"Unemployment, total (% of total labor force)",1960,
Fiji,FJI,"Unemployment, total (% of total labor force)",1960,
Finland,FIN,"Unemployment, total (% of total labor force)",1960,
France,FRA,"Unemployment, total (% of total labor force)",1960,
French Polynesia,PYF,"Unemployment, total (% of total labor force)",1960,
Gabon,GAB,"Unemployment, total (% of total labor force)",1960,
"Gambia, The",GMB,"Unemployment, total (% of total labor force)",1960,
Georgia,GEO,"Unemployment, total (% of total labor force)",1960,
Germany,DEU,"Unemployment, total (% of total labor force)",1960,
Ghana,GHA,"Unemployment, total (% of total labor force)",1960,
Gibraltar,GIB,"Unemployment, total (% of total labor force)",1960,
Greece,GRC,"Unemployment, total (% of total labor force)",1960,
Greenland,GRL,"Unemployment, total (% of total labor force)",1960,
Grenada,GRD,"Unemployment, total (% of total labor force)",1960,
Guam,GUM,"Unemployment, total (% of total labor force)",1960,
Guatemala,GTM,"Unemployment, total (% of total labor force)",1960,
Guinea,GIN,"Unemployment, total (% of total labor force)",1960,
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force)",1960,
Guyana,GUY,"Unemployment, total (% of total labor force)",1960,
Haiti,HTI,"Unemployment, total (% of total labor force)",1960,
